,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_mlp__activation,param_mlp__alpha,param_mlp__hidden_layer_sizes,param_mlp__solver,param_pca__n_components,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
304,3.5785398483276367,0.04426307277300201,0.03267273902893066,0.003045534555926847,relu,0.001,"(128, 128)",adam,100,"{'mlp__activation': 'relu', 'mlp__alpha': 0.001, 'mlp__hidden_layer_sizes': (128, 128), 'mlp__solver': 'adam', 'pca__n_components': 100}",0.5833333333333334,0.5291666666666667,0.5458333333333333,0.5208333333333334,0.5916666666666667,0.5541666666666667,0.02850438562747845,215
305,2.392503786087036,0.042340417307898455,0.011872386932373047,0.0009815064098072763,relu,0.001,"(128, 128)",sgd,20,"{'mlp__activation': 'relu', 'mlp__alpha': 0.001, 'mlp__hidden_layer_sizes': (128, 128), 'mlp__solver': 'sgd', 'pca__n_components': 20}",0.575,0.5125,0.5416666666666666,0.6083333333333333,0.6291666666666667,0.5733333333333333,0.042540830060334066,65
306,2.7666533946990968,0.030901654616455575,0.017967367172241212,0.0025958220908027904,relu,0.001,"(128, 128)",sgd,40,"{'mlp__activation': 'relu', 'mlp__alpha': 0.001, 'mlp__hidden_layer_sizes': (128, 128), 'mlp__solver': 'sgd', 'pca__n_components': 40}",0.5875,0.5458333333333333,0.5166666666666667,0.6,0.5791666666666667,0.5658333333333333,0.030436637279582787,118
307,3.165941905975342,0.01991782730342019,0.021523094177246092,0.00191013014514125,relu,0.001,"(128, 128)",sgd,60,"{'mlp__activation': 'relu', 'mlp__alpha': 0.001, 'mlp__hidden_layer_sizes': (128, 128), 'mlp__solver': 'sgd', 'pca__n_components': 60}",0.6166666666666667,0.5375,0.5708333333333333,0.6041666666666666,0.5875,0.5833333333333333,0.027638539919628346,19
308,3.528935766220093,0.023897246396358974,0.027254247665405275,0.0036004359776579827,relu,0.001,"(128, 128)",sgd,80,"{'mlp__activation': 'relu', 'mlp__alpha': 0.001, 'mlp__hidden_layer_sizes': (128, 128), 'mlp__solver': 'sgd', 'pca__n_components': 80}",0.5625,0.5625,0.5583333333333333,0.5916666666666667,0.525,0.5599999999999999,0.021180441711898052,174
309,3.465047311782837,0.06847030244754952,0.036414384841918945,0.006749003402142655,relu,0.001,"(128, 128)",sgd,100,"{'mlp__activation': 'relu', 'mlp__alpha': 0.001, 'mlp__hidden_layer_sizes': (128, 128), 'mlp__solver': 'sgd', 'pca__n_components': 100}",0.5708333333333333,0.5583333333333333,0.55,0.6458333333333334,0.5625,0.5775,0.03482097069296031,37
310,2.404014015197754,0.10236807112132916,0.0144195556640625,0.0028436168557267882,relu,0.001,"(512,)",adam,20,"{'mlp__activation': 'relu', 'mlp__alpha': 0.001, 'mlp__hidden_layer_sizes': (512,), 'mlp__solver': 'adam', 'pca__n_components': 20}",0.6083333333333333,0.5875,0.525,0.625,0.5833333333333334,0.5858333333333333,0.03391164991562633,14
311,3.352429914474487,0.04969838196938205,0.02032628059387207,0.00281877835112849,relu,0.001,"(512,)",adam,40,"{'mlp__activation': 'relu', 'mlp__alpha': 0.001, 'mlp__hidden_layer_sizes': (512,), 'mlp__solver': 'adam', 'pca__n_components': 40}",0.5666666666666667,0.55,0.5458333333333333,0.625,0.5458333333333333,0.5666666666666667,0.03016160178475644,113
312,4.054908370971679,0.048460964306524634,0.028274345397949218,0.0034735093665463792,relu,0.001,"(512,)",adam,60,"{'mlp__activation': 'relu', 'mlp__alpha': 0.001, 'mlp__hidden_layer_sizes': (512,), 'mlp__solver': 'adam', 'pca__n_components': 60}",0.6041666666666666,0.5833333333333334,0.5458333333333333,0.5833333333333334,0.5833333333333334,0.5800000000000001,0.018892973414591067,30
313,4.8775636672973635,0.06544036947298992,0.031890153884887695,0.005692094332550999,relu,0.001,"(512,)",adam,80,"{'mlp__activation': 'relu', 'mlp__alpha': 0.001, 'mlp__hidden_layer_sizes': (512,), 'mlp__solver': 'adam', 'pca__n_components': 80}",0.5833333333333334,0.575,0.5625,0.625,0.575,0.5841666666666667,0.021473497877875218,18
314,5.29715313911438,0.12379863234944403,0.04084224700927734,0.002630243794115736,relu,0.001,"(512,)",adam,100,"{'mlp__activation': 'relu', 'mlp__alpha': 0.001, 'mlp__hidden_layer_sizes': (512,), 'mlp__solver': 'adam', 'pca__n_components': 100}",0.5625,0.5666666666666667,0.5708333333333333,0.6166666666666667,0.575,0.5783333333333334,0.019614337159899718,36
315,2.389497709274292,0.03147665596956674,0.014850425720214843,0.0013605497581013575,relu,0.001,"(512,)",sgd,20,"{'mlp__activation': 'relu', 'mlp__alpha': 0.001, 'mlp__hidden_layer_sizes': (512,), 'mlp__solver': 'sgd', 'pca__n_components': 20}",0.6125,0.525,0.5666666666666667,0.6625,0.6083333333333333,0.595,0.04635311328391126,2
316,3.1474085807800294,0.07320803666442044,0.020378255844116212,0.003502336303268155,relu,0.001,"(512,)",sgd,40,"{'mlp__activation': 'relu', 'mlp__alpha': 0.001, 'mlp__hidden_layer_sizes': (512,), 'mlp__solver': 'sgd', 'pca__n_components': 40}",0.5791666666666667,0.5458333333333333,0.5416666666666666,0.6,0.5791666666666667,0.5691666666666666,0.02214221709264406,94
317,3.9955558300018312,0.03211797072988425,0.02712283134460449,0.005979950548004298,relu,0.001,"(512,)",sgd,60,"{'mlp__activation': 'relu', 'mlp__alpha': 0.001, 'mlp__hidden_layer_sizes': (512,), 'mlp__solver': 'sgd', 'pca__n_components': 60}",0.5958333333333333,0.5666666666666667,0.5791666666666667,0.5666666666666667,0.5791666666666667,0.5775,0.01073674893893761,37
318,4.617107915878296,0.06986146714925856,0.03256878852844238,0.002533571637952267,relu,0.001,"(512,)",sgd,80,"{'mlp__activation': 'relu', 'mlp__alpha': 0.001, 'mlp__hidden_layer_sizes': (512,), 'mlp__solver': 'sgd', 'pca__n_components': 80}",0.5833333333333334,0.5458333333333333,0.5458333333333333,0.5875,0.6041666666666666,0.5733333333333333,0.023511226632776494,65
319,4.901769351959229,0.0746383855201613,0.037471771240234375,0.0028902807273414083,relu,0.001,"(512,)",sgd,100,"{'mlp__activation': 'relu', 'mlp__alpha': 0.001, 'mlp__hidden_layer_sizes': (512,), 'mlp__solver': 'sgd', 'pca__n_components': 100}",0.6416666666666667,0.55,0.5333333333333333,0.575,0.5875,0.5774999999999999,0.03723051317281447,42
320,1.7559080123901367,0.07064416343330047,0.011383628845214844,0.0020622843292643807,relu,0.01,"(64, 64, 64)",adam,20,"{'mlp__activation': 'relu', 'mlp__alpha': 0.01, 'mlp__hidden_layer_sizes': (64, 64, 64), 'mlp__solver': 'adam', 'pca__n_components': 20}",0.575,0.55,0.5625,0.5958333333333333,0.5708333333333333,0.5708333333333333,0.015138251770487441,82
321,1.9763678550720214,0.01995585777393163,0.015557146072387696,0.001303177961496771,relu,0.01,"(64, 64, 64)",adam,40,"{'mlp__activation': 'relu', 'mlp__alpha': 0.01, 'mlp__hidden_layer_sizes': (64, 64, 64), 'mlp__solver': 'adam', 'pca__n_components': 40}",0.5541666666666667,0.5208333333333334,0.5291666666666667,0.5625,0.6208333333333333,0.5575000000000001,0.03519785346990479,191
322,2.2794705390930177,0.03412885154635374,0.019359636306762695,0.0014952621667325867,relu,0.01,"(64, 64, 64)",adam,60,"{'mlp__activation': 'relu', 'mlp__alpha': 0.01, 'mlp__hidden_layer_sizes': (64, 64, 64), 'mlp__solver': 'adam', 'pca__n_components': 60}",0.5541666666666667,0.5791666666666667,0.5583333333333333,0.6041666666666666,0.5583333333333333,0.5708333333333334,0.018819316317727007,80
323,2.650025510787964,0.026783667765782587,0.024161624908447265,0.003293189287757272,relu,0.01,"(64, 64, 64)",adam,80,"{'mlp__activation': 'relu', 'mlp__alpha': 0.01, 'mlp__hidden_layer_sizes': (64, 64, 64), 'mlp__solver': 'adam', 'pca__n_components': 80}",0.525,0.55,0.5791666666666667,0.5833333333333334,0.6083333333333333,0.5691666666666667,0.02881936077631762,93
324,2.3827720165252684,0.04103415297951931,0.02797703742980957,0.0015669414222876693,relu,0.01,"(64, 64, 64)",adam,100,"{'mlp__activation': 'relu', 'mlp__alpha': 0.01, 'mlp__hidden_layer_sizes': (64, 64, 64), 'mlp__solver': 'adam', 'pca__n_components': 100}",0.5875,0.5416666666666666,0.6041666666666666,0.5958333333333333,0.5833333333333334,0.5825,0.021634591642911958,21
325,1.6355615615844727,0.03087361742911234,0.011321926116943359,0.0016867372011215623,relu,0.01,"(64, 64, 64)",sgd,20,"{'mlp__activation': 'relu', 'mlp__alpha': 0.01, 'mlp__hidden_layer_sizes': (64, 64, 64), 'mlp__solver': 'sgd', 'pca__n_components': 20}",0.6083333333333333,0.5375,0.5458333333333333,0.625,0.6458333333333334,0.5925,0.04325313090786996,4
326,1.9222776412963867,0.0269671120418423,0.01882200241088867,0.006497791382930349,relu,0.01,"(64, 64, 64)",sgd,40,"{'mlp__activation': 'relu', 'mlp__alpha': 0.01, 'mlp__hidden_layer_sizes': (64, 64, 64), 'mlp__solver': 'sgd', 'pca__n_components': 40}",0.5375,0.5541666666666667,0.5416666666666666,0.6,0.6041666666666666,0.5675,0.02879525423861832,111
327,2.25435357093811,0.02599579187012106,0.018939924240112305,0.0016073297022545252,relu,0.01,"(64, 64, 64)",sgd,60,"{'mlp__activation': 'relu', 'mlp__alpha': 0.01, 'mlp__hidden_layer_sizes': (64, 64, 64), 'mlp__solver': 'sgd', 'pca__n_components': 60}",0.575,0.5916666666666667,0.5541666666666667,0.5541666666666667,0.6,0.575,0.018819316317727007,51
328,2.570970916748047,0.03416481408799884,0.024432802200317384,0.0015494430850752066,relu,0.01,"(64, 64, 64)",sgd,80,"{'mlp__activation': 'relu', 'mlp__alpha': 0.01, 'mlp__hidden_layer_sizes': (64, 64, 64), 'mlp__solver': 'sgd', 'pca__n_components': 80}",0.5375,0.5291666666666667,0.5541666666666667,0.5875,0.5625,0.5541666666666667,0.02041241452319316,215
